ID,Text Blocks,Goal Score
62,"Build a better workplace and world by advancing human rights and diversity, equity and inclusion (DE&I) for our people, in our business partnerships and our communities",0.9425826072692871
63,make nutritious food accessible to 50 million people1,0.9403401613235474
64,Reach 100 million people with safe water access1,0.9393150210380554
65,"In the U.S., we sell LIFEWTR in 100% rPET bottles and Pepsi Zero Sugar will begin to be sold in 100% rPET bottles by the end of 2022 (we plan to convert all Pepsi-branded products in the U.S. to 100% rPET bottles by 2030).",0.9335691332817078
66,"implementing sustainable practices, we currently intend to collect and publish agricultural water-use efficiency data at least every three years.",0.93065345287323
67,across our plastic packaging) to reduce absolute tonnage of virgin plastic from non-renewable sources across our entire portfolio.,0.9304404258728027
68,Continue to make measurable progress against our Racial Equality Journey goals in the U.S.,0.9303255677223206
69,Commitment to no deforestation,0.919863224029541
70,"result in up to a 38% net reduction in on-farm greenhouse gas (GHG) emissions, including soil carbon sequestration.",0.910807192325592
71,"Reduce absolute greenhouse gas (GHG) emissions across our value chain by more than 40% by 2030, including a 75% reduction in emissions from our direct operations.",0.8998578190803528
72,Increase water securitythrough holistic watershed solutions to manage droughts,0.8989111185073853
73,"Over the course of the five-year program, the PepsiCo Foundation and NUL will provide 500 Black restaurant owners in 12 cities with capital, technical assistance and mentorship services.",0.8959099054336548
74,"Reduce virgin material use, increase recycled",0.8790915608406067
75,"In 2022, we plan to expand N-Drip in India, South Africa and the United States as well as kick off a pilot in Greece.",0.8757431507110596
76,Improve operational water-use,0.8383185863494873
77,Continue to adopt the Alliance,0.8382629752159119
78,"Provide meaningful jobs and growth opportunities for our people and empower them to make a positive impact at work, at home and in their local communities",0.824104368686676
79,Improve farmer livelihoods through higher sales margins and greater profitability,0.8237592577934265
80,Bring safe water Bring safe water access and sanitation Bring safe water access and sanitation,0.8160916566848755
81,"Continue to develop sustainablemanufacturing, warehousing and distribution",0.7696680426597595
82,Develop and deploy disruptive sustainable packaging materials and new models for beverages and convenient foods.,0.7424317002296448
83,"Improve operational water-use efficiency by 25% in high water-risk areas by 20251, 2",0.7175455093383789
84,We intend to set a new quantifiable goal to reduce our use of single-use packaging for a percent of volume of our beverage portfolio by the end of 2022.,0.548098087310791
85,"By year end 2022, we intend to set a new target to expand alternative business models, including reusable and refillable bottles or containers, beverages that utilize concentrates such as  fountain drinks, prepare-at-home beverages  (e.g., SodaStream), or beverages sold in powder  or drop form.",0.4978424906730652
86,"1 Our global progress is based on our Top 26 beverage markets, which represent 79% of our global beverages volume as of 2021",0.480656236410141
87,"In 2021, PepsiCo and Beyond Meat's Planet Partnership debuted Beyond Meat Jerky, the joint venture’s ﬁrst product.",0.4795123040676117
88,Feed more people with fewer inputs,0.4738258421421051
89,2 2021 and 2020 results reflect the exclusion of SodaStream and Pioneer Foods.,0.4538778066635132
90,"In 2022, we will report similar program efforts to economically empower women in agriculture.",0.37745147943496704
91,"In 10 European markets, key Pepsi-branded1 products are expected to switch to 100% rPET2 bottles by 2022.",0.35802069306373596
92,"The goal is global adoption of N-Drip water efficiency technology across 10,000 hectares (25,000 acres) by 2025.",0.35225802659988403
93,The PepsiCo Foundation is already more than halfway to our goal of delivering safe water access to 100 million people by 2030.,0.344173789024353
94,1 2021 and 2020 results reflect the exclusion of SodaStream and Pioneer Foods.,0.34039950370788574
95,100% recycled PET in various markets,0.311797171831131
96,PepsiCo and the PepsiCo Foundation are already more than halfway to our goal of delivering safe water access to 100 million people by 2030.,0.3069133162498474
97,Build soil health and fertility,0.3001699447631836
98,"We are committed to driving fair and safe working conditions throughout our value chain, and we have established a goal that will extend the principles of our Supplier Code of Conduct to all our franchisee and joint ventures by 2025.",0.28143638372421265
99,"In 2021, our company-owned fleet traveled approximately 1.2 billion miles worldwide to bring PepsiCo products to customers.",0.270332008600235
100,Completing expansion of our Sustainable Sourcing Program,0.26815998554229736
101,"To focus efforts on implementing sustainable practices, we currently intend to collect and publish agricultural water-use efficiency data at least every three years.",0.25863152742385864
102,We expect the growth of our global SodaStream and SodaStream Professional business will help consumers avoid an estimated 200 billion plastic bottles through 2030.,0.25008171796798706
103,3 2021 performance impacted by increased plastic use due to business growth.,0.23565004765987396
104,"By year end 2022, we intend to set a new target to expand alternative business models, including reusable and refillable bottles or containers, beverages that utilize concentrates such as fountain drinks, prepare-at-home beverages (e.g., SodaStream) or beverages sold in powder or drop form.",0.22885672748088837
105,We are transitioning several brands to 100% rPET across 22 global markets.,0.21523027122020721
106,Continue to provide consumers choice for every occasion by expanding our product offerings by 2025.,0.18320317566394806
107,"Increase the employability of our people through  increased access to degrees, skill development and new roles, providing meaningful growth opportunities to everyone at every stage",0.16612747311592102
108,"Our global progress is based on our Top 26 beverage markets, which represent 79% of our global beverages volume as of 2021.",0.16438013315200806
109,Moving to rPET bottles is estimated to reduce GHG emissions by roughly 30% per bottle.,0.1604738086462021
110,2 Goal expanded in 2021 to 50% for beverages and convenient foods.,0.1545836627483368
111,"As we advance on our Positive Agriculture journey, and more farms learn the benefits of regenerative agriculture and adopt its practices, we expect to continue to expand into new landscapes and grow the number of regenerative farming acres we annually report toward our goal of 7 million by 2030.",0.15442782640457153
112,"These new targets complement our 2025 goal of making 100% of our packaging recyclable, compostable, biodegradable or reusable.",0.15234550833702087
113,"We are committed to respecting human rights and driving fair and safe working conditions throughout our value chain, including maintaining high safety standards and targeting an injury-free work environment.",0.1478598415851593
114,Continue to strive for an injury-free work environment1,0.14256185293197632
115,Partner with communities to advance food security and make nutritious food accessible to 50 million people3,0.132402241230011
116,"7 Our global progress is based on our Top 23 convenient foods markets, which represent 86% of our global convenient foods volume as of 2021.",0.12898500263690948
117,Cut down on shipping and other packaging materials,0.12771566212177277
118,"To further reduce use of single-use plastic packaging, we plan to set a time-bound goal by the end of 2022 for a percent of volume of beverages to be delivered via strategies that avoid or minimize single-use packaging, such as reusable and refillable bottles or containers.",0.12570706009864807
119,Improve farmer livelihoods,0.1182180866599083
120,"We’ve targeted a goal of improving water-use efficiency by 15% by 2025, compared to a 2015 baseline, throughout our operations.",0.1149194985628128
121,2 Regenerative acres reported for 2021 include U.S. and Canada only.,0.10194246470928192
122,"1 Goal expanded in 2021 to include reusable packaging, updated metric not measured in prior years.",0.10171422362327576
123,"In 2021, in Mexico, PepsiCo partnered with a supplier to pilot the Bonsucro Smallholder Standard, which resulted in 25 smallholder producers becoming certified — among the first in the country.",0.10154824703931808
